number;ADM2_PCODE;Population;Kazakhs;ADM2_EN;ADM2_KK;ADM2_RU;ISO_3166_2;Area;Male;Female;Percentage_of_Kazakhs;color;difference
85;KZ315000;67407;62 124;TurarRyskulov;Т?рарРыс??лов;ТурарРыскулов;KZ-ZHA1;10500;34 492;32 989;92%;1;1 081
86;KZ315400;88615;64 403;Merke;Мерке;Меркенский;KZ-ZHA1;7100;44 551;44 132;73%;1;1 262
87;KZ315600;28370;26 200;Moiynkum;Мойын??м;Мойынкумский;KZ-ZHA1;50400;14 603;13 832;92%;1;383
88;KZ316000;44065;41 073;Sarysu;Сарысу;Сарысуский;KZ-ZHA1;31300;22 367;21 721;93%;1;688
89;KZ316200;48742;42 825;Talas;Талас;Таласский;KZ-ZHA1;12200;24 754;24 058;88%;1;576
90;KZ316600;106132;78 902;Shu;Шу;Шуский;KZ-ZHA1;12000;53 033;53 194;74%;1;1 358
91;KZ331000;204920;156 406;Taldykorgan;Талдыкорган;Талды?ор?ан;KZ-ZHT1;74;96 235;107 824;76%;1;2 223
92;KZ331800;31012;18 014;Tekeli;Текелі;Текели;KZ-ZHT1;104;14 300;16 810;58%;1;78
93;KZ333200;36333;34 893;Aksu;А?су;Аксуский;KZ-ZHT1;12600;18 747;17 817;96%;1;366
94;KZ333400;74351;63 588;Alakol;Алак?л;Алакольский;KZ-ZHT1;23700;37 903;36 782;86%;1;691
95;KZ333600;51797;40 601;Eskeldi;Ескелді;Ескельдинский;KZ-ZHT1;4300;26 134;25 883;78%;1;513
96;KZ334000;43228;38 153;Kerbulak;Керб?ла?;Кербулакский;KZ-ZHT1;11500;22 530;21 049;88%;1;524
97;KZ334200;41946;35 214;Koksu;К?ксу;Коксуский;KZ-ZHT1;7100;21 024;21 082;84%;1;567
98;KZ334400;39762;26 806;Karatal;?аратал;Каратальский;KZ-ZHT1;24200;20 447;19 464;67%;1;83
99;KZ334600;134351;86 188;Panfilov;Панфилов;Панфиловский;KZ-ZHT1;10600;67 783;66 648;64%;1;2 278
100;KZ334800;39276;32 573;Sarkand;Сар?ант;Сарканский;KZ-ZHT1;24400;19 950;19 575;83%;1;378
101;KZ351000;521847;270 011;Karaganda;?ара?анды;Караганда;KZ-KAR1;498;242 334;278 336;52%;1;2 889
102;KZ351600;77407;54 704;Balkhash;Бал?аш;Балхаш;KZ-KAR1;230;37 326;40 162;71%;1;571
103;KZ352100;11115;8 429;Priozersk;Приозер;Приозерск;KZ-KAR1;55;5 479;5 672;76%;1;173
104;KZ352200;43708;12 227;Saran;Саран;Сарань;KZ-KAR1;174;20 662;23 071;28%;2;27
105;KZ352400;177122;70 858;Temirtau;Теміртау;Темиртау;KZ-KAR1;296;84 407;92 900;40%;2;492
106;KZ352800;58079;17 401;Shakhtinsk;Шахтинск;Шахтинск;KZ-KAR1;200;28 563;29 647;30%;2;0
107;KZ353200;58611;25 167;Abay;Абай;Абайский;KZ-KAR1;6500;28 987;29 764;43%;1;129
108;KZ353600;15811;14 693;Aktogay;А?то?ай;Актогайский;KZ-KAR1;52000;8 153;7 758;93%;1;188
109;KZ354000;52531;35 363;Bukhar-Zhyrau;Б??аржырау;Бухар-Жырауский;KZ-KAR1;14500;26 794;25 969;67%;1;297
110;KZ354800;30188;28 984;Karkaraly;?ар?аралы;Каркаралинский;KZ-KAR1;35500;15 707;14 630;96%;1;338
111;KZ355200;21805;15 336;Nura;Н?ра;Нуринский;KZ-KAR1;46300;11 370;10 572;70%;1;106
112;KZ355600;29640;11 721;Osakarov;Осакаров;Осакаровский;KZ-KAR1;11200;14 838;14 968;40%;1;96
113;KZ356400;37068;33 817;Shet;Шет;Шетский;KZ-KAR1;65600;19 227;18 055;91%;1;381
114;KZ391000;269152;123 867;Kostanay;?останай;Костанай;KZ-KUS1;240;124 458;143 706;46%;1;1 025
115;KZ391600;37868;30 373;Arkalyk;Ар?алы?;Аркалык;KZ-KUS1;10;18 834;19 174;80%;1;437
116;KZ392000;34624;9 412;Lisakovsk;Лисаковск;Лисаковск;KZ-KUS1;200;16 233;18 397;27%;2;-89
117;KZ392400;123421;45 358;Rudnyy;Рудный;Рудный;KZ-KUS1;176;58 780;64 756;37%;2;-237
118;KZ393200;12245;5 115;Altynsarin;Алтынсарин;Алтынсаринский;KZ-KUS1;6400;6 395;5 925;42%;1;14
119;KZ393400;13171;12 960;Amangeldi;Амангелді;Амангельдинский;KZ-KUS1;22600;7 060;6 210;98%;1;142
120;KZ393600;34085;18 191;Auliekol;?улиек?л;Аулиекольский;KZ-KUS1;11100;17 050;17 255;53%;1;34
121;KZ394000;16077;5 019;Denisov;Денисов;Денисовский;KZ-KUS1;6700;8 103;8 096;31%;2;-40
122;KZ394200;10504;10 463;Zhangeldi;Жангелдин;Джангельдинский;KZ-KUS1;37600;5 454;5 107;100%;1;134
123;KZ394400;41868;17 827;Zhetikara;Жіті?ара;Житикаринский;KZ-KUS1;7311;20 389;21 697;43%;1;-71
124;KZ394800;10468;5 006;Kamysty;?амысты;Камыстинский;KZ-KUS1;12100;5 490;5 095;48%;1;33
125;KZ395000;24111;8 377;Karabalyk;?арабалы?;Карабалыкский;KZ-KUS1;6900;11 984;12 200;35%;2;-62
126;KZ395200;19884;6 344;Karasu;?арасу;Карасуский;KZ-KUS1;12800;10 072;9 974;32%;2;37
127;KZ395400;73277;33 204;Kostanay;?останай;Костанайский;KZ-KUS1;7500;36 360;37 045;45%;1;192
128;KZ395600;21503;8 217;Mendykara;Ме?ді?ара;Мендыкаринский;KZ-KUS1;6610;10 869;10 831;38%;2;-55
129;KZ395800;8790;6 465;Naurzum;Наурызым;Наурзумский;KZ-KUS1;15200;4 752;4 125;74%;1;45
130;KZ396200;16964;5 547;Sarykol;Сарык?л;Сарыкольский;KZ-KUS1;6116;8 699;8 412;33%;2;-13
131;KZ396400;22510;7 360;BeimbetMailin;БейімбетМайлин;БеимбетМайлин;KZ-KUS1;7600;11 268;11 275;33%;2;-96
132;KZ396600;14757;5 929;Uzunkol;?зынк?л;Узункольский;KZ-KUS1;7157;7 593;7 254;40%;2;-43
133;KZ396800;23506;5 003;Fedorov;Федоров;Федоровский;KZ-KUS1;7200;11 762;11 845;21%;2;-84
134;KZ431000;358235;334 542;Kyzylorda;?ызылорда;Кызылорда;KZ-KZY1;240;174 823;181 605;93%;1;7 006
135;KZ431900;33584;31 216;Baykonyr;Бай?о?ыр;Байконыр;KZ-KZY1;55;16 389;17 430;93%;1;357
136;KZ433200;79144;78 896;Aral;Арал;Аральский;KZ-KZY1;68400;40 564;38 541;100%;1;1 502
137;KZ433600;35988;35 652;Zhalagash;Жала?аш;Жалагашский;KZ-KZY1;27100;18 747;17 307;99%;1;573
138;KZ434000;81327;80 425;Zhanakorgan;Жа?а?ор?ан;Жанакорганский;KZ-KZY1;16600;41 831;39 469;99%;1;1 633
139;KZ434400;79255;78 542;Kazaly;?азалы;Казалинский;KZ-KZY1;37400;40 294;38 854;99%;1;1 423
140;KZ434600;52007;50 198;Karmakshy;?арма?шы;Кармакшинский;KZ-KZY1;31000;26 805;25 373;97%;1;863
141;KZ434800;37911;37 401;Syrdariya;Сырдария;Сырдарьинский;KZ-KZY1;39100;19 660;18 311;99%;1;546
142;KZ435200;85932;83 079;Shieli;Шиелі;Чиилийский;KZ-KZY1;34300;44 047;41 879;97%;1;1 556
143;KZ471000;284338;226 565;Aktau;А?тау;Актау;KZ-MAN1;77;135 578;146 227;80%;1;5 486
144;KZ471800;152141;149 301;Zhanaozen;Жа?а?зен;Жанаозен;KZ-MAN1;516;76 308;75 256;98%;1;3 648
145;KZ473600;72899;71 736;Beyneu;Бейнеу;Бейнеуский;KZ-MAN1;40519;36 943;35 901;98%;1;1 713
146;KZ474200;36722;36 237;Karakiyan;?ара?иян;Каракиянский;KZ-MAN1;64297;18 556;18 041;99%;1;792
147;KZ474600;35182;35 092;Mangistau;Ма??ыстау;Мангистауский;KZ-MAN1;47018;17 853;17 350;100%;1;822
148;KZ475000;169893;161 470;Munayli;М?найлы;Мунайлинский;KZ-MAN1;4922;85 974;82 911;95%;1;4 182
149;KZ475200;40188;39 238;Tupkaragan;Т?п?ара?ан;Тупкараганский;KZ-MAN1;8100;20 174;19 765;98%;1;864
150;KZ551000;368859;190 090;Pavlodar;Павлодар;Павлодар;KZ-PAV1;633;171 842;196 552;52%;1;1 158
151;KZ551600;72511;43 695;Aksu;А?су;Аксу;KZ-PAV1;8014;35 128;37 400;60%;1;365
152;KZ552200;145002;90 029;Ekibastuz;Екібаст?з;Экибастуз;KZ-PAV1;18876;69 834;75 239;62%;1;748
153;KZ553200;12607;9 885;Aktogay;А?то?ай;Актогайский;KZ-PAV1;9800;6 550;6 152;78%;1;70
154;KZ553600;23348;21 556;Bayanaul;Баянауыл;Баянаульский;KZ-PAV1;18500;12 083;11 446;92%;1;227
155;KZ554200;14922;6 717;Zhelezin;Железин;Железинский;KZ-PAV1;7700;7 624;7 405;45%;1;9
156;KZ554600;16567;9 874;Irtysh;Ертіс;Иртышский;KZ-PAV1;10200;8 445;8 241;60%;1;16
157;KZ554800;19572;8 906;Terenkol;Тере?к?л;Теренкол;KZ-PAV1;6800;9 877;9 791;46%;1;36
158;KZ555200;12130;10 259;Akkuly;А??улы;Аккулы;KZ-PAV1;8100;6 338;5 938;85%;1;64
159;KZ555600;10370;8 973;May;Май;Майский;KZ-PAV1;18100;5 385;4 917;87%;1;55
160;KZ556000;26352;13 646;Pavlodar;Павлодар;Павлодарский;KZ-PAV1;6100;13 478;12 950;52%;1;113
161;KZ556400;12473;5 107;Uspen;Успен;Успенский;KZ-PAV1;5500;6 233;6 244;41%;1;22
162;KZ556800;18771;9 067;Sharbakty;Шарба?ты;Щербактинский;KZ-PAV1;6900;9 530;9 311;48%;1;23
163;KZ591000;221995;74 533;Petropavlovsk;Петропавл;Петропавловск;KZ-SEV1;221;102 942;119 746;34%;2;38
